Day Index,Sessions
1/1/23,"1,176"
1/2/23,"1,408"
1/3/23,"1,711"
1/4/23,"2,470"
1/5/23,"2,554"
1/6/23,"2,209"
1/7/23,"2,167"
1/8/23,"1,587"
1/9/23,"1,758"
1/10/23,"2,719"
1/11/23,"2,782"
1/12/23,"2,787"
1/13/23,"2,713"
1/14/23,"2,289"
1/15/23,"1,640"
1/16/23,"1,565"
1/17/23,"2,191"
1/18/23,"2,745"
1/19/23,"2,727"
1/20/23,"3,118"
1/21/23,"2,355"
1/22/23,"1,685"
1/23/23,"1,785"
1/24/23,"2,769"
1/25/23,"3,174"
1/26/23,"2,921"
1/27/23,"3,165"
1/28/23,"2,719"
1/29/23,"1,761"
1/30/23,"1,749"
1/31/23,"2,703"
2/1/23,"2,880"
2/2/23,"3,123"
2/3/23,"2,980"
2/4/23,"2,893"
2/5/23,"1,790"
2/6/23,"1,963"
2/7/23,"3,016"
2/8/23,"3,303"
2/9/23,"3,549"
2/10/23,"3,247"
2/11/23,"3,026"
2/12/23,"1,707"
2/13/23,"1,949"
2/14/23,"2,734"
2/15/23,"3,060"
2/16/23,"3,513"
2/17/23,"3,005"
2/18/23,"2,367"
2/19/23,"1,488"
2/20/23,"1,533"
2/21/23,"2,129"
2/22/23,"2,785"
2/23/23,"2,613"
2/24/23,"2,539"
2/25/23,"2,283"
2/26/23,"1,552"
2/27/23,"1,602"
2/28/23,"2,415"
3/1/23,"2,710"
3/2/23,"2,897"
3/3/23,"2,775"
3/4/23,"2,229"
3/5/23,"1,711"
3/6/23,"1,687"
3/7/23,"2,779"
3/8/23,"3,020"
3/9/23,"3,222"
3/10/23,"2,895"
3/11/23,"2,060"
3/12/23,"1,412"
3/13/23,"1,580"
3/14/23,"2,671"
3/15/23,"2,598"
3/16/23,"2,867"
3/17/23,"2,907"
3/18/23,"2,392"
3/19/23,"1,625"
3/20/23,"1,678"
3/21/23,"3,006"
3/22/23,"3,001"
3/23/23,"3,209"
3/24/23,"3,778"
3/25/23,"2,793"
3/26/23,"1,626"
3/27/23,"1,929"
3/28/23,"2,987"
3/29/23,"2,835"
3/30/23,"2,834"
3/31/23,"3,027"
4/1/23,"2,393"
4/2/23,"1,558"
4/3/23,"1,732"
4/4/23,"3,079"
4/5/23,"3,020"
4/6/23,"7,139"
4/7/23,"5,521"
4/8/23,"3,678"
4/9/23,"2,519"
4/10/23,"2,327"
4/11/23,"3,526"
4/12/23,"3,433"
4/13/23,"3,225"
4/14/23,"3,194"
4/15/23,"2,723"
4/16/23,"1,856"
4/17/23,"1,697"
4/18/23,"3,143"
4/19/23,"3,550"
4/20/23,"3,543"
4/21/23,"3,559"
4/22/23,"2,794"
4/23/23,"1,771"
4/24/23,"2,009"
4/25/23,"3,382"
4/26/23,"3,402"
4/27/23,"3,508"
4/28/23,"3,403"
4/29/23,"2,917"
4/30/23,"1,871"
5/1/23,"1,742"
5/2/23,"3,016"
5/3/23,"3,225"
5/4/23,"3,227"
5/5/23,"3,385"
5/6/23,"4,231"
5/7/23,"3,390"
5/8/23,"2,225"
5/9/23,"3,293"
5/10/23,"3,632"
5/11/23,"4,193"
5/12/23,"4,045"
5/13/23,"3,353"
5/14/23,"2,719"
5/15/23,"2,670"
5/16/23,"3,329"
5/17/23,"3,372"
5/18/23,"3,210"
5/19/23,"3,645"
5/20/23,"2,861"
5/21/23,"2,027"
5/22/23,"2,124"
5/23/23,"3,366"
5/24/23,"3,377"
5/25/23,"3,550"
5/26/23,"3,336"
5/27/23,"2,729"
5/28/23,"1,777"
5/29/23,"1,910"
5/30/23,"2,476"
5/31/23,"3,194"
6/1/23,"3,283"
6/2/23,"3,171"
6/3/23,"2,941"
6/4/23,"1,846"
6/5/23,"1,888"
6/6/23,"3,319"
6/7/23,"3,791"
6/8/23,"3,631"
6/9/23,"3,932"
6/10/23,"3,100"
6/11/23,"1,736"
6/12/23,"1,851"
6/13/23,"3,197"
6/14/23,"3,194"
6/15/23,"3,339"
6/16/23,"3,270"
6/17/23,"2,836"
6/18/23,"1,684"
6/19/23,"1,889"
6/20/23,"2,595"
6/21/23,"3,204"
6/22/23,"3,196"
6/23/23,"3,222"
6/24/23,"2,791"
6/25/23,"1,707"
6/26/23,"1,838"
6/27/23,"3,089"
6/28/23,"3,186"
6/29/23,"3,005"
6/30/23,"3,018"
